"g1","g2","team1","team2"
1,1,"Atalanta  ","Ascoli    "
2,1,"Bari      ","Ascoli    "
2,0,"Cagliari  ","Ascoli    "
3,1,"Cremonese ","Ascoli    "
1,2,"Fiorentina","Ascoli    "
1,0,"Foggia    ","Ascoli    "
1,0,"Genoa     ","Ascoli    "
2,1,"Inter     ","Ascoli    "
1,0,"Juventus  ","Ascoli    "
1,1,"Lazio     ","Ascoli    "
4,1,"Milan     ","Ascoli    "
5,1,"Napoli    ","Ascoli    "
2,0,"Parma     ","Ascoli    "
1,0,"Roma      ","Ascoli    "
4,0,"Sampdoria ","Ascoli    "
5,2,"Torino    ","Ascoli    "
1,0,"Verona    ","Ascoli    "
1,0,"Ascoli    ","Atalanta  "
0,0,"Bari      ","Atalanta  "
0,0,"Cagliari  ","Atalanta  "
1,2,"Cremonese ","Atalanta  "
3,0,"Fiorentina","Atalanta  "
2,3,"Foggia    ","Atalanta  "
0,2,"Genoa     ","Atalanta  "
0,0,"Inter     ","Atalanta  "
2,1,"Juventus  ","Atalanta  "
1,1,"Lazio     ","Atalanta  "
3,1,"Milan     ","Atalanta  "
1,0,"Napoli    ","Atalanta  "
0,0,"Parma     ","Atalanta  "
1,1,"Roma      ","Atalanta  "
0,2,"Sampdoria ","Atalanta  "
1,1,"Torino    ","Atalanta  "
1,3,"Verona    ","Atalanta  "
2,2,"Ascoli    ","Bari      "
2,1,"Atalanta  ","Bari      "
0,0,"Cagliari  ","Bari      "
1,1,"Cremonese ","Bari      "
2,0,"Fiorentina","Bari      "
4,1,"Foggia    ","Bari      "
1,3,"Genoa     ","Bari      "
1,0,"Inter     ","Bari      "
2,0,"Juventus  ","Bari      "
3,1,"Lazio     ","Bari      "
2,0,"Milan     ","Bari      "
1,0,"Napoli    ","Bari      "
1,0,"Parma     ","Bari      "
2,0,"Roma      ","Bari      "
1,1,"Sampdoria ","Bari      "
1,0,"Torino    ","Bari      "
2,1,"Verona    ","Bari      "
1,3,"Ascoli    ","Cagliari  "
0,1,"Atalanta  ","Cagliari  "
1,0,"Bari      ","Cagliari  "
0,1,"Cremonese ","Cagliari  "
1,0,"Fiorentina","Cagliari  "
3,1,"Foggia    ","Cagliari  "
2,2,"Genoa     ","Cagliari  "
0,0,"Inter     ","Cagliari  "
0,0,"Juventus  ","Cagliari  "
2,1,"Lazio     ","Cagliari  "
1,0,"Milan     ","Cagliari  "
4,0,"Napoli    ","Cagliari  "
1,1,"Parma     ","Cagliari  "
0,0,"Roma      ","Cagliari  "
1,1,"Sampdoria ","Cagliari  "
1,0,"Torino    ","Cagliari  "
2,0,"Verona    ","Cagliari  "
1,0,"Ascoli    ","Cremonese "
1,1,"Atalanta  ","Cremonese "
0,0,"Bari      ","Cremonese "
0,0,"Cagliari  ","Cremonese "
1,1,"Fiorentina","Cremonese "
2,0,"Foggia    ","Cremonese "
2,0,"Genoa     ","Cremonese "
0,2,"Inter     ","Cremonese "
2,0,"Juventus  ","Cremonese "
3,2,"Lazio     ","Cremonese "
3,1,"Milan     ","Cremonese "
3,0,"Napoli    ","Cremonese "
1,1,"Parma     ","Cremonese "
3,0,"Roma      ","Cremonese "
2,2,"Sampdoria ","Cremonese "
2,0,"Torino    ","Cremonese "
2,2,"Verona    ","Cremonese "
0,0,"Ascoli    ","Fiorentina"
1,0,"Atalanta  ","Fiorentina"
1,0,"Bari      ","Fiorentina"
4,0,"Cagliari  ","Fiorentina"
1,3,"Cremonese ","Fiorentina"
3,3,"Foggia    ","Fiorentina"
3,2,"Genoa     ","Fiorentina"
1,1,"Inter     ","Fiorentina"
1,0,"Juventus  ","Fiorentina"
1,1,"Lazio     ","Fiorentina"
1,1,"Milan     ","Fiorentina"
1,0,"Napoli    ","Fiorentina"
1,1,"Parma     ","Fiorentina"
1,3,"Roma      ","Fiorentina"
2,0,"Sampdoria ","Fiorentina"
2,0,"Torino    ","Fiorentina"
2,3,"Verona    ","Fiorentina"
2,1,"Ascoli    ","Foggia    "
4,4,"Atalanta  ","Foggia    "
1,3,"Bari      ","Foggia    "
2,2,"Cagliari  ","Foggia    "
0,2,"Cremonese ","Foggia    "
1,2,"Fiorentina","Foggia    "
0,2,"Genoa     ","Foggia    "
1,1,"Inter     ","Foggia    "
4,1,"Juventus  ","Foggia    "
5,2,"Lazio     ","Foggia    "
3,1,"Milan     ","Foggia    "
3,3,"Napoli    ","Foggia    "
2,0,"Parma     ","Foggia    "
1,1,"Roma      ","Foggia    "
1,1,"Sampdoria ","Foggia    "
3,1,"Torino    ","Foggia    "
1,0,"Verona    ","Foggia    "
0,2,"Ascoli    ","Genoa     "
1,0,"Atalanta  ","Genoa     "
1,2,"Bari      ","Genoa     "
1,1,"Cagliari  ","Genoa     "
2,1,"Cremonese ","Genoa     "
3,1,"Fiorentina","Genoa     "
1,0,"Foggia    ","Genoa     "
2,2,"Inter     ","Genoa     "
3,0,"Juventus  ","Genoa     "
1,1,"Lazio     ","Genoa     "
1,1,"Milan     ","Genoa     "
1,0,"Napoli    ","Genoa     "
2,0,"Parma     ","Genoa     "
0,0,"Roma      ","Genoa     "
2,2,"Sampdoria ","Genoa     "
4,0,"Torino    ","Genoa     "
2,1,"Verona    ","Genoa     "
1,2,"Ascoli    ","Inter     "
1,0,"Atalanta  ","Inter     "
0,2,"Bari      ","Inter     "
1,1,"Cagliari  ","Inter     "
0,1,"Cremonese ","Inter     "
1,1,"Fiorentina","Inter     "
2,2,"Foggia    ","Inter     "
1,2,"Genoa     ","Inter     "
2,1,"Juventus  ","Inter     "
0,1,"Lazio     ","Inter     "
1,0,"Milan     ","Inter     "
1,1,"Napoli    ","Inter     "
1,1,"Parma     ","Inter     "
0,1,"Roma      ","Inter     "
4,0,"Sampdoria ","Inter     "
0,0,"Torino    ","Inter     "
1,0,"Verona    ","Inter     "
0,2,"Ascoli    ","Juventus  "
0,0,"Atalanta  ","Juventus  "
0,0,"Bari      ","Juventus  "
1,1,"Cagliari  ","Juventus  "
0,2,"Cremonese ","Juventus  "
2,0,"Fiorentina","Juventus  "
0,1,"Foggia    ","Juventus  "
2,1,"Genoa     ","Juventus  "
1,3,"Inter     ","Juventus  "
1,1,"Lazio     ","Juventus  "
1,1,"Milan     ","Juventus  "
0,1,"Napoli    ","Juventus  "
0,0,"Parma     ","Juventus  "
1,1,"Roma      ","Juventus  "
1,0,"Sampdoria ","Juventus  "
2,0,"Torino    ","Juventus  "
3,3,"Verona    ","Juventus  "
1,4,"Ascoli    ","Lazio     "
1,0,"Atalanta  ","Lazio     "
1,2,"Bari      ","Lazio     "
0,1,"Cagliari  ","Lazio     "
2,0,"Cremonese ","Lazio     "
1,1,"Fiorentina","Lazio     "
2,1,"Foggia    ","Lazio     "
1,0,"Genoa     ","Lazio     "
1,0,"Inter     ","Lazio     "
1,1,"Juventus  ","Lazio     "
2,0,"Milan     ","Lazio     "
3,0,"Napoli    ","Lazio     "
1,0,"Parma     ","Lazio     "
1,1,"Roma      ","Lazio     "
1,0,"Sampdoria ","Lazio     "
0,1,"Torino    ","Lazio     "
0,2,"Verona    ","Lazio     "
0,1,"Ascoli    ","Milan     "
0,2,"Atalanta  ","Milan     "
0,1,"Bari      ","Milan     "
1,4,"Cagliari  ","Milan     "
1,1,"Cremonese ","Milan     "
0,0,"Fiorentina","Milan     "
2,8,"Foggia    ","Milan     "
0,0,"Genoa     ","Milan     "
1,1,"Inter     ","Milan     "
1,1,"Juventus  ","Milan     "
1,1,"Lazio     ","Milan     "
1,1,"Napoli    ","Milan     "
1,3,"Parma     ","Milan     "
1,1,"Roma      ","Milan     "
0,2,"Sampdoria ","Milan     "
2,2,"Torino    ","Milan     "
0,1,"Verona    ","Milan     "
1,4,"Ascoli    ","Napoli    "
1,1,"Atalanta  ","Napoli    "
1,3,"Bari      ","Napoli    "
0,0,"Cagliari  ","Napoli    "
0,0,"Cremonese ","Napoli    "
4,2,"Fiorentina","Napoli    "
1,0,"Foggia    ","Napoli    "
3,4,"Genoa     ","Napoli    "
0,0,"Inter     ","Napoli    "
3,1,"Juventus  ","Napoli    "
3,3,"Lazio     ","Napoli    "
5,0,"Milan     ","Napoli    "
2,1,"Parma     ","Napoli    "
1,1,"Roma      ","Napoli    "
1,1,"Sampdoria ","Napoli    "
0,0,"Torino    ","Napoli    "
0,1,"Verona    ","Napoli    "
2,3,"Ascoli    ","Parma     "
0,1,"Atalanta  ","Parma     "
1,1,"Bari      ","Parma     "
0,0,"Cagliari  ","Parma     "
0,1,"Cremonese ","Parma     "
1,1,"Fiorentina","Parma     "
1,1,"Foggia    ","Parma     "
2,0,"Genoa     ","Parma     "
0,0,"Inter     ","Parma     "
1,0,"Juventus  ","Parma     "
1,1,"Lazio     ","Parma     "
2,0,"Milan     ","Parma     "
2,2,"Napoli    ","Parma     "
1,0,"Roma      ","Parma     "
2,0,"Sampdoria ","Parma     "
0,0,"Torino    ","Parma     "
1,0,"Verona    ","Parma     "
1,1,"Ascoli    ","Roma      "
0,1,"Atalanta  ","Roma      "
2,1,"Bari      ","Roma      "
0,1,"Cagliari  ","Roma      "
1,2,"Cremonese ","Roma      "
0,1,"Fiorentina","Roma      "
1,2,"Foggia    ","Roma      "
1,1,"Genoa     ","Roma      "
0,0,"Inter     ","Roma      "
2,1,"Juventus  ","Roma      "
1,1,"Lazio     ","Roma      "
4,1,"Milan     ","Roma      "
3,2,"Napoli    ","Roma      "
3,1,"Parma     ","Roma      "
1,1,"Sampdoria ","Roma      "
1,1,"Torino    ","Roma      "
0,1,"Verona    ","Roma      "
0,1,"Ascoli    ","Sampdoria "
0,0,"Atalanta  ","Sampdoria "
1,1,"Bari      ","Sampdoria "
3,2,"Cagliari  ","Sampdoria "
0,1,"Cremonese ","Sampdoria "
1,2,"Fiorentina","Sampdoria "
0,0,"Foggia    ","Sampdoria "
0,0,"Genoa     ","Sampdoria "
0,0,"Inter     ","Sampdoria "
0,0,"Juventus  ","Sampdoria "
1,2,"Lazio     ","Sampdoria "
5,1,"Milan     ","Sampdoria "
2,1,"Napoli    ","Sampdoria "
2,1,"Parma     ","Sampdoria "
2,0,"Roma      ","Sampdoria "
1,1,"Torino    ","Sampdoria "
0,0,"Verona    ","Sampdoria "
0,4,"Ascoli    ","Torino    "
1,3,"Atalanta  ","Torino    "
1,1,"Bari      ","Torino    "
0,1,"Cagliari  ","Torino    "
0,2,"Cremonese ","Torino    "
0,0,"Fiorentina","Torino    "
1,1,"Foggia    ","Torino    "
1,1,"Genoa     ","Torino    "
0,0,"Inter     ","Torino    "
1,0,"Juventus  ","Torino    "
2,1,"Lazio     ","Torino    "
2,0,"Milan     ","Torino    "
0,1,"Napoli    ","Torino    "
0,0,"Parma     ","Torino    "
1,0,"Roma      ","Torino    "
0,0,"Sampdoria ","Torino    "
1,2,"Verona    ","Torino    "
1,1,"Ascoli    ","Verona    "
0,0,"Atalanta  ","Verona    "
2,1,"Bari      ","Verona    "
4,0,"Cagliari  ","Verona    "
3,0,"Cremonese ","Verona    "
4,1,"Fiorentina","Verona    "
5,0,"Foggia    ","Verona    "
1,0,"Genoa     ","Verona    "
2,0,"Inter     ","Verona    "
2,0,"Juventus  ","Verona    "
2,0,"Lazio     ","Verona    "
4,0,"Milan     ","Verona    "
3,1,"Napoli    ","Verona    "
1,1,"Parma     ","Verona    "
1,0,"Roma      ","Verona    "
2,0,"Sampdoria ","Verona    "
0,0,"Torino    ","Verona    "
